,회사명,종목코드,업종,상장일,최근일 거래량
0,DSR,155660,1차 비철금속 제조업,2013-05-15,115288.0
1,GS,078930,기타 금융업,2004-08-05,411375.0
2,GS글로벌,001250,상품 종합 도매업,1976-06-26,620584.0
3,HDC현대산업개발,294870,건물 건설업,2018-06-12,1363525.0
4,LG이노텍,011070,전자부품 제조업,2008-07-24,335143.0
5,LG전자,066570,통신 및 방송 장비 제조업,2002-04-22,1682488.0
6,LG헬로비전,037560,텔레비전 방송업,2012-11-09,167022.0
7,OCI,010060,기초 화학물질 제조업,1985-07-09,376247.0
8,S&TC,100840,일반 목적용 기계 제조업,2008-02-22,23715.0
9,S&T모티브,064960,자동차 신품 부품 제조업,2002-03-11,129641.0
10,SK이노베이션,096770,석유 정제품 제조업,2007-07-25,1149854.0
11,STX,011810,상품 종합 도매업,1990-09-12,77123.0
12,WISCOM,024070,플라스틱제품 제조업,1996-11-22,82045.0
13,YG PLUS,037270,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2003-08-01,1121586.0
14,갤럭시아에스엠,011420,스포츠 서비스업,1989-11-14,164710.0
15,고려아연,010130,1차 비철금속 제조업,1990-07-28,54404.0
16,국보,001140,도로 화물 운송업,1989-12-02,1986747.0
17,극동유화,014530,석유 정제품 제조업,1991-01-31,729272.0
18,까뮤이앤씨,013700,건물 건설업,1989-11-30,1139969.0
19,대덕,008060,전자부품 제조업,1989-01-26,774708.0
20,대덕전자,353200,전자부품 제조업,2020-05-21,966157.0
21,대영포장,014160,"골판지, 종이 상자 및 종이용기 제조업",1990-03-06,2122881.0
22,대한해운,005880,해상 운송업,1992-04-23,154738.0
23,동아쏘시오홀딩스,000640,기타 금융업,1970-02-10,53314.0
24,두산,000150,회사 본부 및 경영 컨설팅 서비스업,1973-06-29,183699.0
25,락앤락,115390,플라스틱제품 제조업,2010-01-28,225904.0
26,마니커,027740,"도축, 육류 가공 및 저장 처리업",2002-10-29,5865644.0
27,메리츠증권,008560,금융 지원 서비스업,1992-01-15,2633278.0
28,모두투어리츠,204210,부동산 임대 및 공급업,2016-09-22,3992.0
29,부국증권,001270,금융 지원 서비스업,1988-07-19,6889.0
30,삼성SDI,006400,일차전지 및 축전지 제조업,1979-02-27,1006456.0
31,삼성바이오로직스,207940,기초 의약물질 및 생물학적 제제 제조업,2016-11-10,785411.0
32,삼성출판사,068290,"서적, 잡지 및 기타 인쇄물 출판업",2002-08-05,140456.0
33,삼성화재해상보험,000810,보험업,1975-06-30,171016.0
34,삼양식품,003230,기타 식품 제조업,1975-06-30,138122.0
35,삼양홀딩스,000070,기타 금융업,1968-12-27,26875.0
36,삼영전자공업,005680,전자부품 제조업,1976-12-28,22592.0
37,삼영화학공업,003720,플라스틱제품 제조업,1976-06-30,182789.0
38,상상인증권,001290,금융 지원 서비스업,1988-09-23,159468.0
39,선도전기,007610,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",1989-11-30,145636.0
40,선진,136490,동물용 사료 및 조제식품 제조업,2011-02-16,186126.0
41,세방전지,004490,일차전지 및 축전지 제조업,1987-11-28,56812.0
42,세원셀론텍,091090,"구조용 금속제품, 탱크 및 증기발생기 제조업",2006-07-31,691025.0
43,신풍제약,019170,의약품 제조업,1990-01-20,8189053.0
44,신한알파리츠,293940,부동산 임대 및 공급업,2018-08-08,186867.0
45,신한지주,055550,기타 금융업,2001-09-10,2546281.0
46,애경산업,018250,기타 화학제품 제조업,2018-03-22,111966.0
47,에넥스,011090,가구 제조업,1995-07-08,1105973.0
48,에스원,012750,"경비, 경호 및 탐정업",1996-01-30,55935.0
49,영화금속,012280,자동차 신품 부품 제조업,1990-01-25,1697915.0
50,윌비스,008600,생활용품 도매업,1989-07-28,1672041.0
51,유나이티드,033270,의약품 제조업,2007-10-23,249460.0
52,인지컨트롤스,023800,자동차 신품 부품 제조업,1997-06-23,287412.0
53,인터지스,129260,도로 화물 운송업,2011-12-16,87118.0
54,일성건설,013360,토목 건설업,1989-12-02,315224.0
55,일진다이아,081000,기타 화학제품 제조업,2004-12-22,1434372.0
56,제일약품,271980,의약품 제조업,2017-07-17,1009239.0
57,제일연마,001560,기타 비금속 광물제품 제조업,2005-12-09,26978.0
58,제일파마홀딩스,002620,회사 본부 및 경영 컨설팅 서비스업,1988-01-20,168800.0
59,제주항공,089590,항공 여객 운송업,2015-11-06,258652.0
60,조흥,002600,기타 식품 제조업,1976-12-23,372.0
61,지역난방공사,071320,"증기, 냉·온수 및 공기조절 공급업",2010-01-29,20489.0
62,진도,088790,기타 전문 도매업,2006-03-28,28043.0
63,컨버즈,109070,"골판지, 종이 상자 및 종이용기 제조업",2009-03-17,0.0
64,코오롱인더,120110,화학섬유 제조업,2010-02-01,312731.0
65,키다리스튜디오,020120,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",1996-07-03,211392.0
66,태경산업,015890,기초 화학물질 제조업,1996-01-30,210581.0
67,태양금속공업,004100,자동차 신품 부품 제조업,1976-05-25,651129.0
68,포스코강판,058430,1차 철강 제조업,2002-08-16,175174.0
69,필룩스,033180,전자부품 제조업,2001-12-26,2666753.0
70,한국공항,005430,기타 운송관련 서비스업,1976-12-28,41788.0
71,한국제지,002300,"펄프, 종이 및 판지 제조업",1971-06-23,28965.0
72,한국종합기술,023350,"건축기술, 엔지니어링 및 관련 기술 서비스업",2011-04-28,24284.0
73,한국철강,104700,1차 철강 제조업,2008-09-29,191546.0
74,한국패러랠,168490,신탁업 및 집합투자업,2013-04-19,6116.0
75,한라홀딩스,060980,기타 금융업,2010-05-19,81104.0
76,한미사이언스,008930,기타 금융업,1988-06-20,270549.0
77,한미약품,128940,의약품 제조업,2010-07-30,85414.0
78,한솔로지스틱스,009180,기타 운송관련 서비스업,1989-11-13,520155.0
79,한일철강,002220,1차 철강 제조업,1988-10-07,57718.0
80,한일현대시멘트,006390,"시멘트, 석회, 플라스터 및 그 제품 제조업",1975-12-26,38197.0
81,한창제지,009460,"펄프, 종이 및 판지 제조업",1987-12-23,2169550.0
82,한화생명,088350,보험업,2010-03-17,11304993.0
83,한화시스템,272210,전자부품 제조업,2019-11-13,1042805.0
84,현대건설,000720,토목 건설업,1984-12-22,939492.0
85,현대건설기계,267270,일반 목적용 기계 제조업,2017-05-10,382474.0
86,현대모비스,012330,자동차 신품 부품 제조업,1989-09-05,431682.0
87,현대비앤지스틸,004560,1차 철강 제조업,1987-03-24,180599.0
88,현대엘리베이터,017800,일반 목적용 기계 제조업,1996-07-03,245435.0
89,현대중공업지주,267250,석유 정제품 제조업,2017-05-10,59593.0
90,현대차증권,001500,금융 지원 서비스업,1990-06-09,220847.0
91,현대홈쇼핑,057050,무점포 소매업,2010-09-13,42539.0
92,호전실업,111110,봉제의복 제조업,2017-02-02,28650.0
93,호텔신라,008770,기타 상품 전문 소매업,1991-03-12,810279.0
94,CJ프레시웨이,051500,음·식료품 및 담배 도매업,2001-07-26,116494.0
95,EDGC,245620,자연과학 및 공학 연구개발업,2018-06-26,3324934.0
96,GH신소재,130500,기타 섬유제품 제조업,2013-08-02,286890.0
97,GST,083450,특수 목적용 기계 제조업,2006-02-01,514711.0
98,GS홈쇼핑,028150,텔레비전 방송업,2000-01-20,24123.0
99,ITX엠투엠,099520,영상 및 음향기기 제조업,2009-12-22,109376.0
100,JW신약,067290,의약품 제조업,2003-02-11,680771.0
101,KB오토시스,024120,자동차 신품 부품 제조업,1994-12-07,41263.0
102,KG모빌리언스,046440,소프트웨어 개발 및 공급업,2004-12-14,26764641.0
103,KH바텍,060720,전자부품 제조업,2002-05-21,1292792.0
104,SK5호스팩,337450,금융 지원 서비스업,2019-12-04,273.0
105,SK6호스팩,340350,금융 지원 서비스업,2020-03-11,532.0
106,SK바이오랜드,052260,기타 화학제품 제조업,2001-05-17,1504804.0
107,THE E&M,089230,기타 정보 서비스업,2006-10-10,616256.0
108,TJ미디어,032540,영상 및 음향기기 제조업,1997-04-16,47047.0
109,YW,051390,상품 종합 도매업,2001-11-15,17387.0
110,갤럭시아컴즈,094480,소프트웨어 개발 및 공급업,2007-07-20,399543.0
111,경남바이오파마,044480,고무제품 제조업,2001-01-11,8349987.0
112,경창산업,024910,자동차 신품 부품 제조업,1994-12-29,52282.0
113,고려시멘트,198440,"시멘트, 석회, 플라스터 및 그 제품 제조업",2014-08-13,788155.0
114,골프존,215000,소프트웨어 개발 및 공급업,2015-04-03,44687.0
115,교보8호스팩,307280,금융 지원 서비스업,2018-12-05,597.0
116,국순당,043650,알코올음료 제조업,2000-08-24,68550.0
117,그리티,204020,봉제의복 제조업,2018-07-23,172174.0
118,나노브릭,286750,기초 화학물질 제조업,2019-08-19,29558.0
119,나스미디어,089600,광고업,2013-07-17,80023.0
120,네오티스,085910,자동차 신품 부품 제조업,2007-10-01,23042.0
121,네이처셀,007390,기초 의약물질 및 생물학적 제제 제조업,1992-11-30,3384344.0
122,녹십자셀,031390,기초 의약물질 및 생물학적 제제 제조업,1998-09-25,270891.0
123,뉴인텍,012340,전자부품 제조업,1997-02-12,645330.0
124,뉴프렉스,085670,전자부품 제조업,2006-01-17,288101.0
125,대봉엘에스,078140,의약품 제조업,2005-12-23,438668.0
126,대유에이피,290120,자동차 신품 부품 제조업,2018-12-07,50775.0
127,대주산업,003310,동물용 사료 및 조제식품 제조업,1992-08-01,569602.0
128,대한약품,023910,의약품 제조업,1994-11-23,78549.0
129,동구바이오제약,006620,의약품 제조업,2018-02-13,516071.0
130,동방선기,099410,선박 및 보트 건조업,2009-11-10,583482.0
131,디에이피,066900,전자부품 제조업,2004-05-14,1564050.0
132,디엔에이링크,127120,자연과학 및 공학 연구개발업,2011-12-26,132253.0
133,디엔에프,092070,기타 화학제품 제조업,2007-11-16,414469.0
134,디오,039840,의료용 기기 제조업,2000-06-29,137475.0
135,디지틀조선,033130,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",1997-08-06,1020406.0
136,디케이앤디,263020,플라스틱제품 제조업,2018-11-20,13412.0
137,라이트론,069540,통신 및 방송 장비 제조업,2004-02-13,0.0
138,라파스,214260,기타 화학제품 제조업,2019-11-11,295214.0
